STREET_NAME_ENG,STREET_NAME_CHI,METER_NONMETER,CAPACITY,VEHICLE_TYPE_DESCRIPTION_1,VEHICLE_TYPE_DESCRIPTION_2,PARK_METER_PERIOD_DESC,OPERATIVE_HOUR_ENG,OPERATIVE_HOUR_CHI,IRNP_REMARKS_ENG,IRNP_REMARKS_CHI,X_COOR,Y_COOR,LAST_UPDATE_DATE,FEATUREID
PING CHE ROAD,坪輋路,N,1,Any Vehicles,,,,,,,834719,842627,6/9/2019 13:00:00,1
PING CHE ROAD,坪輋路,N,1,Any Vehicles,,,,,,,834720,842625,6/9/2019 13:00:00,2
PING CHE ROAD,坪輋路,N,1,Any Vehicles,,,,,,,834722,842623,6/9/2019 13:00:00,3
PING CHE ROAD,坪輋路,N,1,Any Vehicles,,,,,,,834723,842621,6/9/2019 13:00:00,4
PING CHE ROAD,坪輋路,N,1,Any Vehicles,,,,,,,834725,842619,6/9/2019 13:00:00,5
PING CHE ROAD,坪輋路,N,1,Any Vehicles,,,,,,,834726,842617,6/9/2019 13:00:00,6
PING CHE ROAD,坪輋路,N,1,Any Vehicles,,,,,,,834728,842615,6/9/2019 13:00:00,7
PING CHE ROAD,坪輋路,N,1,Any Vehicles,,,,,,,834729,842613,6/9/2019 13:00:00,8
WUN SHA STREET,浣紗街,N,1,Disable,,,,,Vehicles With Disabled Person's Parking Permit Only,祇准出示傷殘人士泊車許可証車輛使用,837930,815494,6/9/2019 13:00:00,9
WUN SHA STREET,浣紗街,N,1,Disable,,,,,Vehicles With Disabled Person's Parking Permit Only,祇准出示傷殘人士泊車許可証車輛使用,837934,815489,6/9/2019 13:00:00,10
SHEPHERD STREET,施弼街,M,1,Any Vehicles,,2 Hr,8am to Midnight daily except general holidays,除公眾假期外每日收費由上午八時至午夜十二時,,,837835,815510,6/9/2019 13:00:00,11
SHEPHERD STREET,施弼街,M,1,Any Vehicles,,2 Hr,8am to Midnight daily except general holidays,除公眾假期外每日收費由上午八時至午夜十二時,,,837840,815513,6/9/2019 13:00:00,12
SHEPHERD STREET,施弼街,M,1,Any Vehicles,,2 Hr,8am to Midnight daily except general holidays,除公眾假期外每日收費由上午八時至午夜十二時,,,837844,815516,6/9/2019 13:00:00,13
SHEPHERD STREET,施弼街,M,1,Any Vehicles,,2 Hr,8am to Midnight daily except general holidays,除公眾假期外每日收費由上午八時至午夜十二時,,,837850,815519,6/9/2019 13:00:00,14
STADIUM PATH,大球場徑,M,1,Any Vehicles,,2 Hr,5pm to Midnight on Monday to Friday 8am to Midnight on Saturday & 10am to 10pm on general holidays,星期一至星期五收費由下午五時至午夜十二時 星期六收費由上午八時至午夜十二時 公眾假期收費由上午十時至下午十時,Driving test vehicles only Mon to Fri 8am to 5pm Except Saturdays and General Holidays,"每日上午上午八時至下午五時祗准考牌車輛停泊, 星期六及公眾假期除外",837349,815030,6/9/2019 13:00:00,15
STADIUM PATH,大球場徑,M,1,Any Vehicles,,2 Hr,5pm to Midnight on Monday to Friday 8am to Midnight on Saturday & 10am to 10pm on general holidays,星期一至星期五收費由下午五時至午夜十二時 星期六收費由上午八時至午夜十二時 公眾假期收費由上午十時至下午十時,Driving test vehicles only Mon to Fri 8am to 5pm Except Saturdays and General Holidays,"每日上午上午八時至下午五時祗准考牌車輛停泊, 星期六及公眾假期除外",837352,815034,6/9/2019 13:00:00,16
WAN TAU STREET,運頭街,M,1,Any Vehicles,,2 Hr,8am to 8pm,上午八時至下午八時,,,835370,834143,6/9/2019 13:00:00,17
WAN TAU STREET,運頭街,M,1,Any Vehicles,,2 Hr,8am to 8pm,上午八時至下午八時,,,835372,834142,6/9/2019 13:00:00,18
WAN TAU STREET,運頭街,M,1,Any Vehicles,,2 Hr,8am to 8pm,上午八時至下午八時,,,835374,834140,6/9/2019 13:00:00,19
WAN TAU STREET,運頭街,M,1,Any Vehicles,,2 Hr,8am to 8pm,上午八時至下午八時,,,835376,834139,6/9/2019 13:00:00,20
WAN TAU STREET,運頭街,M,1,Any Vehicles,,2 Hr,8am to 8pm,上午八時至下午八時,,,835378,834138,6/9/2019 13:00:00,21
WAN TAU STREET,運頭街,M,1,Any Vehicles,,2 Hr,8am to 8pm,上午八時至下午八時,,,835381,834137,6/9/2019 13:00:00,22
WAN TAU STREET,運頭街,M,1,Any Vehicles,,2 Hr,8am to 8pm,上午八時至下午八時,,,835383,834136,6/9/2019 13:00:00,23
